CLAVE_MUNICIPIO,MUNICIPIO,CLAVE_ENTIDAD,ENTIDAD_FEDERATIVA,Lat_Decimal,Lon_Decimal,Pob_Total
1,AGUASCALIENTES,1,AGUASCALIENTES,21.879823,-102.296047,722250
2,ASIENTOS,1,AGUASCALIENTES,22.238317,-102.089275,4517
3,CALVILLO,1,AGUASCALIENTES,21.846907,-102.718751,19742
4,COSÍO,1,AGUASCALIENTES,22.366409,-102.300044,4898
5,JESÚS MARÍA,1,AGUASCALIENTES,21.961273,-102.343416,43012
6,PABELLÓN DE ARTEAGA,1,AGUASCALIENTES,22.149202,-102.276542,28633
7,RINCÓN DE ROMOS,1,AGUASCALIENTES,22.229233,-102.323069,27988
8,SAN JOSÉ DE GRACIA,1,AGUASCALIENTES,22.150216,-102.415634,4927
9,TEPEZALÁ,1,AGUASCALIENTES,22.224228,-102.166971,4511
10,EL LLANO,1,AGUASCALIENTES,21.918869,-101.965307,5399
11,SAN FRANCISCO DE LOS ROMO,1,AGUASCALIENTES,22.072393,-102.272678,16124
1,ENSENADA,2,BAJA CALIFORNIA,31.808944,-116.595134,279765
2,MEXICALI,2,BAJA CALIFORNIA,32.641176,-115.475579,689775
3,TECATE,2,BAJA CALIFORNIA,32.572679,-116.62655,64764
4,TIJUANA,2,BAJA CALIFORNIA,32.532461,-117.018913,1300983
5,PLAYAS DE ROSARITO,2,BAJA CALIFORNIA,32.363684,-117.054459,65278
1,COMONDÚ,3,BAJA CALIFORNIA SUR,25.034636,-111.673339,40935
2,MULEGÉ,3,BAJA CALIFORNIA SUR,27.336868,-112.268275,11765
3,LA PAZ,3,BAJA CALIFORNIA SUR,24.148745,-110.30659,215178
8,LOS CABOS,3,BAJA CALIFORNIA SUR,23.061591,-109.694749,69788
9,LORETO,3,BAJA CALIFORNIA SUR,26.012778,-111.343333,14724
1,CALKINÍ,4,CAMPECHE,20.371226,-90.050739,14934
2,CAMPECHE,4,CAMPECHE,19.844814,-90.539649,220389
3,CARMEN,4,CAMPECHE,18.637789,-91.83645,169466
4,CHAMPOTÓN,4,CAMPECHE,19.356219,-90.723891,30881
5,HECELCHAKÁN,4,CAMPECHE,20.176966,-90.134517,10285
6,HOPELCHÉN,4,CAMPECHE,19.745548,-89.845044,7295
7,PALIZADA,4,CAMPECHE,18.253598,-92.090902,3089
8,TENABO,4,CAMPECHE,20.039677,-90.225763,7543
9,ESCÁRCEGA,4,CAMPECHE,18.604315,-90.732001,29477
10,CALAKMUL,4,CAMPECHE,18.505371,-89.397276,3984
11,CANDELARIA,4,CAMPECHE,18.183451,-91.046294,9812
1,ABASOLO,5,COAHUILA DE ZARAGOZA,27.181944,-101.426389,739
2,ACUÑA,5,COAHUILA DE ZARAGOZA,29.330006,-100.978258,134233
3,ALLENDE,5,COAHUILA DE ZARAGOZA,28.347222,-100.854167,20694
4,ARTEAGA,5,COAHUILA DE ZARAGOZA,25.450621,-100.849623,8446
5,CANDELA,5,COAHUILA DE ZARAGOZA,26.840278,-100.663889,1492
6,CASTAÑOS,5,COAHUILA DE ZARAGOZA,26.785278,-101.430556,23649
7,CUATRO CIÉNEGAS,5,COAHUILA DE ZARAGOZA,26.986864,-102.067101,10309
8,ESCOBEDO,5,COAHUILA DE ZARAGOZA,27.234722,-101.4125,533
9,FRANCISCO I. MADERO,5,COAHUILA DE ZARAGOZA,25.775,-103.273056,26632
10,FRONTERA,5,COAHUILA DE ZARAGOZA,26.926111,-101.449444,69462
11,GENERAL CEPEDA,5,COAHUILA DE ZARAGOZA,25.379908,-101.479292,4382
12,GUERRERO,5,COAHUILA DE ZARAGOZA,28.308418,-100.378726,959
13,HIDALGO,5,COAHUILA DE ZARAGOZA,27.791681,-99.876055,1638
14,JIMÉNEZ,5,COAHUILA DE ZARAGOZA,29.070308,-100.674228,1160
15,JUÁREZ,5,COAHUILA DE ZARAGOZA,27.606506,-100.72712,890
16,LAMADRID,5,COAHUILA DE ZARAGOZA,27.048494,-101.793599,1801
17,MATAMOROS,5,COAHUILA DE ZARAGOZA,25.528136,-103.230384,52233
18,MONCLOVA,5,COAHUILA DE ZARAGOZA,26.901242,-101.417224,215271
19,MORELOS,5,COAHUILA DE ZARAGOZA,28.410104,-100.886631,6839
20,MÚZQUIZ,5,COAHUILA DE ZARAGOZA,27.87755,-101.516518,35060
21,NADADORES,5,COAHUILA DE ZARAGOZA,27.029031,-101.592023,4343
22,NAVA,5,COAHUILA DE ZARAGOZA,28.421875,-100.767554,22192
23,OCAMPO,5,COAHUILA DE ZARAGOZA,27.311215,-102.397405,3679
24,PARRAS,5,COAHUILA DE ZARAGOZA,25.437381,-102.184169,33817
25,PIEDRAS NEGRAS,5,COAHUILA DE ZARAGOZA,28.708093,-100.528441,150178
26,PROGRESO,5,COAHUILA DE ZARAGOZA,27.428978,-100.987233,796
27,RAMOS ARIZPE,5,COAHUILA DE ZARAGOZA,25.543234,-100.950782,66554
28,SABINAS,5,COAHUILA DE ZARAGOZA,27.848888,-101.119989,54905
29,SACRAMENTO,5,COAHUILA DE ZARAGOZA,27.004439,-101.725036,2297
30,SALTILLO,5,COAHUILA DE ZARAGOZA,25.421665,-100.999721,709671
31,SAN BUENAVENTURA,5,COAHUILA DE ZARAGOZA,27.060257,-101.550029,20480
32,SAN JUAN DE SABINAS,5,COAHUILA DE ZARAGOZA,27.92939,-101.303293,1415
33,SAN PEDRO,5,COAHUILA DE ZARAGOZA,25.757778,-102.983157,48746
34,SIERRA MOJADA,5,COAHUILA DE ZARAGOZA,27.286877,-103.701457,478
35,TORREÓN,5,COAHUILA DE ZARAGOZA,25.541753,-103.453061,608836
36,VIESCA,5,COAHUILA DE ZARAGOZA,25.343605,-102.80635,3610
37,VILLA UNIÓN,5,COAHUILA DE ZARAGOZA,28.220498,-100.725155,5350
38,ZARAGOZA,5,COAHUILA DE ZARAGOZA,28.487043,-100.917622,10461
1,ARMERÍA,6,COLIMA,18.937073,-103.964997,15923
2,COLIMA,6,COLIMA,19.242922,-103.728119,137383
3,COMALA,6,COLIMA,19.323199,-103.758801,9442
4,COQUIMATLÁN,6,COLIMA,19.20141,-103.810917,13358
5,CUAUHTÉMOC,6,COLIMA,19.328774,-103.601861,8602
6,IXTLAHUACÁN,6,COLIMA,19.001184,-103.738593,2717
7,MANZANILLO,6,COLIMA,19.053206,-104.316381,130035
8,MINATITLÁN,6,COLIMA,19.38611,-104.049637,4588
9,TECOMÁN,6,COLIMA,18.910604,-103.873789,85689
10,VILLA DE ÁLVAREZ,6,COLIMA,19.264776,-103.736759,117600
1,ACACOYAGUA,7,CHIAPAS,15.340965,-92.674617,7515
2,ACALA,7,CHIAPAS,16.551674,-92.807508,13889
3,ACAPETAHUA,7,CHIAPAS,15.282838,-92.689132,6194
4,ALTAMIRANO,7,CHIAPAS,16.73592,-92.038594,9200
5,AMATÁN,7,CHIAPAS,17.372848,-92.819123,3947
6,AMATENANGO DE LA FRONTERA,7,CHIAPAS,15.435011,-92.115158,781
7,AMATENANGO DEL VALLE,7,CHIAPAS,16.528501,-92.435491,4661
8,ANGEL ALBINO CORZO,7,CHIAPAS,15.872644,-92.72508,10427
9,ARRIAGA,7,CHIAPAS,16.236065,-93.899473,24447
10,BEJUCAL DE OCAMPO,7,CHIAPAS,15.455393,-92.158407,315
11,BELLA VISTA,7,CHIAPAS,15.582998,-92.244846,1672
12,BERRIOZÁBAL,7,CHIAPAS,16.800321,-93.273271,28128
13,BOCHIL,7,CHIAPAS,16.996383,-92.890219,12404
14,EL BOSQUE,7,CHIAPAS,17.06221,-92.721409,5155
15,CACAHOATÁN,7,CHIAPAS,14.989789,-92.16811,16572
16,CATAZAJÁ,7,CHIAPAS,17.728321,-92.016366,2973
17,CINTALAPA,7,CHIAPAS,16.698682,-93.720428,42467
18,COAPILLA,7,CHIAPAS,17.130791,-93.159022,3187
19,COMITÁN DE DOMÍNGUEZ,7,CHIAPAS,16.252461,-92.135835,97537
20,LA CONCORDIA,7,CHIAPAS,16.116716,-92.687934,7641
21,COPAINALÁ,7,CHIAPAS,17.093611,-93.210556,6550
22,CHALCHIHUITÁN,7,CHIAPAS,16.963405,-92.618395,1054
